y,x,street_count,highway,junction,geometry
19.0757034,72.8301021,4,,,POINT (72.8301021 19.0757034)
19.0755459,72.8310255,4,,,POINT (72.8310255 19.0755459)
19.0754919,72.8318535,4,,,POINT (72.8318535 19.0754919)
19.0757988,72.8292714,3,,,POINT (72.8292714 19.0757988)
19.0759426,72.8422609,3,,,POINT (72.8422609 19.0759426)
19.077073,72.8614158,4,,,POINT (72.8614158 19.077073)
19.0751071,72.822803,3,,,POINT (72.822803 19.0751071)
19.0757298,72.8270159,3,,,POINT (72.8270159 19.0757298)
19.076088,72.8285225,3,,,POINT (72.8285225 19.076088)
19.0761183,72.8394642,4,,,POINT (72.8394642 19.0761183)
19.0759204,72.8495617,3,,,POINT (72.8495617 19.0759204)
19.0774621,72.8593175,1,,,POINT (72.8593175 19.0774621)
19.0775542,72.8609546,1,,,POINT (72.8609546 19.0775542)
19.0758655,72.8278437,3,,,POINT (72.8278437 19.0758655)
19.07657,72.8432071,1,,,POINT (72.8432071 19.07657)
19.0765204,72.8423743,3,,,POINT (72.8423743 19.0765204)
19.0778047,72.8626074,3,,,POINT (72.8626074 19.0778047)
19.0758789,72.8773593,4,traffic_signals,,POINT (72.8773593 19.0758789)
19.0763089,72.8282513,4,,,POINT (72.8282513 19.0763089)
19.0768187,72.8375961,4,,,POINT (72.8375961 19.0768187)
19.0765085,72.8414577,1,,,POINT (72.8414577 19.0765085)
19.0778147,72.8624721,3,traffic_signals,,POINT (72.8624721 19.0778147)
19.0769236,72.8342232,4,,,POINT (72.8342232 19.0769236)
19.0768855,72.8354482,4,,,POINT (72.8354482 19.0768855)
19.0768619,72.8362065,4,,,POINT (72.8362065 19.0768619)
19.0768393,72.836933,4,,,POINT (72.836933 19.0768393)
19.0771518,72.8425153,4,,,POINT (72.8425153 19.0771518)
19.0788615,72.8667931,3,,,POINT (72.8667931 19.0788615)
19.0769619,72.8335303,4,,,POINT (72.8335303 19.0769619)
19.0768957,72.8439407,1,,,POINT (72.8439407 19.0768957)
19.0778377,72.8611601,3,,,POINT (72.8611601 19.0778377)
19.0770569,72.8310889,4,,,POINT (72.8310889 19.0770569)
19.0770162,72.8319553,4,,,POINT (72.8319553 19.0770162)
19.0769883,72.8327911,4,,,POINT (72.8327911 19.0769883)
19.0759669,72.8800151,4,,,POINT (72.8800151 19.0759669)
19.0770849,72.8301807,4,,,POINT (72.8301807 19.0770849)
19.0771818,72.841454,1,,,POINT (72.841454 19.0771818)
19.0771186,72.8295142,3,,,POINT (72.8295142 19.0771186)
19.0771994,72.8286951,3,,,POINT (72.8286951 19.0771994)
19.0779043,72.8426844,4,,,POINT (72.8426844 19.0779043)
19.0778718,72.8414738,1,,,POINT (72.8414738 19.0778718)
19.0785402,72.8440575,3,,,POINT (72.8440575 19.0785402)
19.0785447,72.8596605,3,,,POINT (72.8596605 19.0785447)
19.0800445,72.8405671,3,,,POINT (72.8405671 19.0800445)
19.0786805,72.842845,4,,,POINT (72.842845 19.0786805)
19.0783456,72.8377059,4,,,POINT (72.8377059 19.0783456)
19.0783588,72.8369921,3,,,POINT (72.8369921 19.0783588)
19.0790932,72.8445481,3,,,POINT (72.8445481 19.0790932)
19.0766167,72.8500372,3,,,POINT (72.8500372 19.0766167)
19.0784235,72.8363232,4,,,POINT (72.8363232 19.0784235)
19.0785726,72.8417319,1,,,POINT (72.8417319 19.0785726)
19.077605,72.8295019,1,,,POINT (72.8295019 19.077605)
19.0784602,72.8355889,4,,,POINT (72.8355889 19.0784602)
19.0789621,72.8587448,3,,,POINT (72.8587448 19.0789621)
19.0785504,72.8343203,4,traffic_signals,,POINT (72.8343203 19.0785504)
19.0789641,72.8377329,3,,,POINT (72.8377329 19.0789641)
19.0785633,72.8335936,4,,,POINT (72.8335936 19.0785633)
19.079274,72.8429326,4,,,POINT (72.8429326 19.079274)
19.0794028,72.8440321,3,,,POINT (72.8440321 19.0794028)
19.0786134,72.8328924,4,,,POINT (72.8328924 19.0786134)
19.0790968,72.8365056,3,,,POINT (72.8365056 19.0790968)
19.079279,72.8420638,1,,,POINT (72.8420638 19.079279)
19.0769276,72.8491717,3,,,POINT (72.8491717 19.0769276)
19.0787481,72.8312277,4,,,POINT (72.8312277 19.0787481)
19.078685,72.8320569,4,,,POINT (72.8320569 19.078685)
19.0787975,72.8303173,4,,,POINT (72.8303173 19.0787975)
19.0788454,72.8296477,3,,,POINT (72.8296477 19.0788454)
19.0791403,72.8383795,3,,,POINT (72.8383795 19.0791403)
19.0780722,72.8509862,3,,,POINT (72.8509862 19.0780722)
19.0788785,72.8291844,3,,,POINT (72.8291844 19.0788785)
19.0791017,72.8537634,3,,,POINT (72.8537634 19.0791017)
19.0791357,72.8756234,3,,,POINT (72.8756234 19.0791357)
19.0793571,72.8312615,3,,,POINT (72.8312615 19.0793571)
19.0794146,72.8392493,3,,,POINT (72.8392493 19.0794146)
19.078295,72.8498711,3,,,POINT (72.8498711 19.078295)
19.0793176,72.8517301,3,,,POINT (72.8517301 19.0793176)
19.0794301,72.8303431,4,,,POINT (72.8303431 19.0794301)
19.0794869,72.8293989,3,,,POINT (72.8293989 19.0794869)
19.0799114,72.8377972,3,,,POINT (72.8377972 19.0799114)
19.0799178,72.8367041,3,,,POINT (72.8367041 19.0799178)
19.079674,72.8430337,3,,,POINT (72.8430337 19.079674)
19.079933,72.8312786,3,,,POINT (72.8312786 19.079933)
19.0796039,72.8457323,3,,,POINT (72.8457323 19.0796039)
19.0800095,72.8303241,4,,,POINT (72.8303241 19.0800095)
19.0816474,72.8703766,3,,,POINT (72.8703766 19.0816474)
19.0801013,72.8296722,3,,,POINT (72.8296722 19.0801013)
19.0799845,72.8540432,3,,,POINT (72.8540432 19.0799845)
19.0806326,72.8344072,3,,,POINT (72.8344072 19.0806326)
19.080728,72.8329008,3,,,POINT (72.8329008 19.080728)
19.0806712,72.8337591,3,,,POINT (72.8337591 19.0806712)
19.0805807,72.8368363,3,,,POINT (72.8368363 19.0805807)
19.0805408,72.8378412,3,,,POINT (72.8378412 19.0805408)
19.080472,72.8466836,4,traffic_signals,,POINT (72.8466836 19.080472)
19.0803082,72.8470698,4,traffic_signals,,POINT (72.8470698 19.0803082)
19.0807442,72.8323944,3,,,POINT (72.8323944 19.0807442)
19.0807221,72.8406505,4,,,POINT (72.8406505 19.0807221)
19.0807789,72.8430525,3,traffic_signals,,POINT (72.8430525 19.0807789)
19.080673,72.844809,4,,,POINT (72.844809 19.080673)
19.0807036,72.8321713,3,,,POINT (72.8321713 19.0807036)
19.0806102,72.8424431,5,,,POINT (72.8424431 19.0806102)
19.0801417,72.8491268,4,,,POINT (72.8491268 19.0801417)
19.0808366,72.8393218,3,,,POINT (72.8393218 19.0808366)
19.0800923,72.8499529,4,,,POINT (72.8499529 19.0800923)
19.0813863,72.8369763,3,,,POINT (72.8369763 19.0813863)
19.0811646,72.8378644,3,traffic_signals,,POINT (72.8378644 19.0811646)
19.0815068,72.8361924,4,,,POINT (72.8361924 19.0815068)
19.0806588,72.8524866,4,traffic_signals,yes,POINT (72.8524866 19.0806588)
19.0813201,72.8337323,3,,,POINT (72.8337323 19.0813201)
19.0792963,72.9079577,4,,,POINT (72.9079577 19.0792963)
19.0811984,72.8324454,3,,,POINT (72.8324454 19.0811984)
19.0817628,72.8344196,4,traffic_signals,,POINT (72.8344196 19.0817628)
19.0817173,72.8337469,3,,,POINT (72.8337469 19.0817173)
19.0819103,72.8378998,3,,,POINT (72.8378998 19.0819103)
19.0810492,72.8537523,4,,,POINT (72.8537523 19.0810492)
19.0823888,72.8668065,3,,,POINT (72.8668065 19.0823888)
19.0796532,72.8803239,5,traffic_signals,,POINT (72.8803239 19.0796532)
19.0812715,72.9044158,4,,,POINT (72.9044158 19.0812715)
19.0819995,72.83714,3,,,POINT (72.83714 19.0819995)
19.0823749,72.8409111,3,,,POINT (72.8409111 19.0823749)
19.0817222,72.8427335,1,,,POINT (72.8427335 19.0817222)
19.0819268,72.8448733,3,,,POINT (72.8448733 19.0819268)
19.0820038,72.8587128,3,,,POINT (72.8587128 19.0820038)
19.0821047,72.836199,4,,,POINT (72.836199 19.0821047)
19.0825203,72.8469311,3,,,POINT (72.8469311 19.0825203)
19.0823201,72.8394622,3,,,POINT (72.8394622 19.0823201)
19.0824184,72.8344422,3,,,POINT (72.8344422 19.0824184)
19.0824201,72.837171,1,,,POINT (72.837171 19.0824201)
19.082474,72.8387927,3,,,POINT (72.8387927 19.082474)
19.082697,72.8379311,4,,,POINT (72.8379311 19.082697)
19.0829113,72.8362862,3,,,POINT (72.8362862 19.0829113)
19.0823446,72.8490678,3,,,POINT (72.8490678 19.0823446)
19.0828514,72.8449197,3,,,POINT (72.8449197 19.0828514)
19.0828143,72.8457834,3,,,POINT (72.8457834 19.0828143)
19.0830931,72.8468076,3,,,POINT (72.8468076 19.0830931)
19.0837879,72.8397615,3,,,POINT (72.8397615 19.0837879)
19.0836827,72.8406509,3,,,POINT (72.8406509 19.0836827)
19.0836353,72.8438649,4,,,POINT (72.8438649 19.0836353)
19.0836282,72.844976,3,,,POINT (72.844976 19.0836282)
19.0837711,72.8427444,3,,,POINT (72.8427444 19.0837711)
19.0842194,72.8497577,3,,,POINT (72.8497577 19.0842194)
19.0818908,72.9103409,4,,,POINT (72.9103409 19.0818908)
19.0823683,72.9089783,4,,,POINT (72.9089783 19.0823683)
19.0834387,72.9051075,4,,,POINT (72.9051075 19.0834387)
